epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48856,2.80236,2.9197,2.87006,0.52574,0.03571,0.06603,0.01748,3.23808,2.81182,3.47693,2e-05,2e-05,2e-05
2,5.23433,2.87812,2.87459,2.87581,0.55676,0.03571,0.06744,0.01738,3.26209,2.84196,3.55802,5.8812e-05,5.8812e-05,5.8812e-05
3,7.27248,2.87268,2.87792,2.87109,0.58302,0.03571,0.0661,0.01383,3.29911,2.85581,3.58204,9.604e-05,9.604e-05,9.604e-05
4,9.21795,2.32103,3.60887,2.50135,0.4211,0.25,0.30905,0.10604,2.69042,4.68395,3.30288,0.000131684,0.000131684,0.000131684
5,13.1201,2.44806,5.04959,2.67344,0.01867,0.32143,0.01377,0.00516,2.23555,4.83538,2.63241,0.000165744,0.000165744,0.000165744
6,16.2028,2.24825,2.99054,2.48569,0.14857,0.35714,0.11153,0.03774,2.09629,7.52717,2.4622,0.00019822,0.00019822,0.00019822
7,18.9341,1.9752,2.34402,2.2098,0.71162,0.28571,0.32678,0.15557,2.23896,2.41831,2.51834,0.000229112,0.000229112,0.000229112
8,22.711,2.03245,2.61711,2.22527,0.21739,0.35714,0.15982,0.05038,2.23139,16.6475,2.59816,0.00025842,0.00025842,0.00025842
9,25.3196,1.59347,2.59266,1.91601,0.46667,0.25,0.20743,0.0689,2.41989,25.1193,3.12146,0.000286144,0.000286144,0.000286144
10,28.6234,1.86085,2.3865,2.11644,0.20582,0.46429,0.16674,0.05322,2.54265,13.6001,3.56292,0.000312284,0.000312284,0.000312284
11,31.8717,1.69549,3.63688,2.00556,0.05488,0.32143,0.03605,0.00955,2.52642,51.7782,4.42747,0.00033684,0.00033684,0.00033684
12,34.5458,1.82253,2.07908,1.99358,0.05488,0.32143,0.03605,0.00955,2.52642,51.7782,4.42747,0.000359812,0.000359812,0.000359812
13,37.0899,1.55792,1.92197,1.79102,0,0,0,0,nan,nan,nan,0.0003812,0.0003812,0.0003812
14,39.7326,2.03262,2.14132,2.16997,0,0,0,0,nan,nan,nan,0.000401004,0.000401004,0.000401004
15,42.2946,1.87984,2.02921,2.10328,0,0,0,0,nan,nan,nan,0.000419224,0.000419224,0.000419224
16,44.7895,1.91212,2.13638,2.19353,0.11983,0.14286,0.0698,0.01544,3.19415,14.7843,5.49949,0.00043586,0.00043586,0.00043586
17,47.6967,1.8847,1.97064,2.13927,0.03853,0.17857,0.05898,0.02219,3.28834,33.8451,4.74914,0.000450912,0.000450912,0.000450912
18,50.8302,1.9517,2.34399,2.20687,0.03853,0.17857,0.05898,0.02219,3.28834,33.8451,4.74914,0.00046438,0.00046438,0.00046438
19,53.4312,1.97372,2.12062,2.17517,0.00167,0.03571,0.00095,0.00066,3.31077,4.68489,4.20099,0.000476264,0.000476264,0.000476264
20,56.0661,1.58681,1.83843,1.79116,0.00167,0.03571,0.00095,0.00066,3.31077,4.68489,4.20099,0.000486564,0.000486564,0.000486564
21,58.6484,1.58311,1.78914,1.83877,0,0,0,0,3.92697,14.6434,6.31963,0.00049528,0.00049528,0.00049528
22,61.7836,1.92258,3.69608,2.15084,0,0,0,0,3.92697,14.6434,6.31963,0.000502412,0.000502412,0.000502412
23,65.5481,1.89687,3.02412,2.11048,0,0,0,0,3.76236,inf,10.7033,0.00050796,0.00050796,0.00050796
24,68.1375,2.18986,2.03246,2.351,0,0,0,0,3.76236,inf,10.7033,0.000511924,0.000511924,0.000511924
25,70.7093,2.13955,2.08021,2.27889,0,0,0,0,5.05497,727.379,7.94287,0.000514304,0.000514304,0.000514304
26,73.3856,1.64147,1.98289,1.773,0,0,0,0,5.05497,727.379,7.94287,0.0005151,0.0005151,0.0005151
27,76.4655,1.63367,1.91954,1.81464,0,0,0,0,5.05497,727.379,7.94287,0.000514312,0.000514312,0.000514312
28,80.0227,1.59617,1.77327,1.77869,0.005,0.10714,0.00285,0.00083,4.21818,210.732,5.85966,0.00051194,0.00051194,0.00051194
29,83.5204,1.69663,1.85077,1.89225,0.005,0.10714,0.00285,0.00083,4.21818,210.732,5.85966,0.000507984,0.000507984,0.000507984
30,86.583,1.69197,1.77639,1.82759,0,0,0,0,4.73783,inf,40.3893,0.000502444,0.000502444,0.000502444
31,89.1709,1.69475,1.7157,1.96325,0,0,0,0,4.73783,inf,40.3893,0.00049532,0.00049532,0.00049532
32,91.8346,1.55175,1.68103,1.7657,0,0,0,0,4.73783,inf,40.3893,0.000486612,0.000486612,0.000486612
33,94.8353,1.40458,1.5173,1.69129,0.00181,0.03571,0.00087,0.00017,4.01052,381.711,7.15222,0.00047632,0.00047632,0.00047632
34,97.693,1.43574,1.557,1.71591,0.00181,0.03571,0.00087,0.00017,4.01052,381.711,7.15222,0.000464444,0.000464444,0.000464444
35,100.278,1.61231,1.7734,1.87075,0.00181,0.03571,0.00087,0.00017,4.01052,381.711,7.15222,0.000450984,0.000450984,0.000450984
36,103.541,1.74432,1.70423,1.99693,0.03289,0.21429,0.05489,0.03194,2.7513,8.58045,3.24208,0.00043594,0.00043594,0.00043594
37,106.08,1.64724,1.66487,1.89597,0.03289,0.21429,0.05489,0.03194,2.7513,8.58045,3.24208,0.000419312,0.000419312,0.000419312
38,108.643,1.57178,1.57044,1.83961,0.03289,0.21429,0.05489,0.03194,2.7513,8.58045,3.24208,0.0004011,0.0004011,0.0004011
39,111.442,1.44461,1.55258,1.71489,0.00678,0.14286,0.00455,0.0012,3.20824,202.224,7.80295,0.000381304,0.000381304,0.000381304
40,114.131,1.50042,1.55233,1.78272,0.00678,0.14286,0.00455,0.0012,3.20824,202.224,7.80295,0.000359924,0.000359924,0.000359924
41,117.061,1.34546,1.5294,1.70003,0.00678,0.14286,0.00455,0.0012,3.20824,202.224,7.80295,0.00033696,0.00033696,0.00033696
