epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.8805,1.90753,0.58929,0.92857,1.48452,0.000184875,0.000184875,0.000184875
2,58.1006,0.92425,0.64286,0.875,1.33615,0.000333557,0.000333557,0.000333557
3,80.4973,0.77266,0.64286,0.89286,1.33529,0.000445544,0.000445544,0.000445544
4,102.349,0.62394,0.75,0.89286,1.15513,0.000390868,0.000390868,0.000390868
5,124.094,0.53573,0.75,0.89286,1.12994,0.000335824,0.000335824,0.000335824
6,146.464,0.48201,0.76786,0.89286,1.20064,0.00028078,0.00028078,0.00028078
7,169.382,0.44397,0.78571,0.89286,1.0251,0.000225736,0.000225736,0.000225736
8,192.208,0.43246,0.78571,0.89286,1.00709,0.000170692,0.000170692,0.000170692
9,214.986,0.36504,0.78571,0.89286,1.05962,0.000115648,0.000115648,0.000115648
10,237.475,0.37557,0.78571,0.89286,0.99912,6.0604e-05,6.0604e-05,6.0604e-05
