aX,aY,aZ,gX,gY,gZ
aX,aY,aZ,gX,gY,gZ
0.525,-0.333,-1.627,34.912,15.747,134.033
0.429,-0.088,-1.624,29.114,-24.658,123.535
0.316,-0.135,-1.407,72.754,-79.712,82.886
0.474,-0.192,-1.114,87.952,-89.722,78.735
0.535,-0.162,-1.142,113.159,-102.539,83.923
0.453,-0.119,-0.971,115.784,-113.281,81.909
0.469,-0.125,-0.856,92.041,-110.840,74.951
0.595,0.030,-0.706,75.012,-109.863,74.219
0.631,0.044,-0.546,53.223,-133.484,58.960
0.590,-0.228,-0.226,54.749,-143.616,53.711
0.522,-0.294,-0.103,40.527,-133.728,73.364
0.557,-0.243,-0.151,-25.879,-84.534,105.286
0.649,0.057,-0.402,-43.884,-59.448,116.455
0.665,0.183,-0.501,-17.273,-39.490,106.567
0.552,0.040,-0.537,5.066,-41.382,97.412
0.503,0.035,-0.461,61.340,-42.603,109.253
0.647,0.123,-0.374,74.890,-5.737,104.919
0.643,0.103,-0.655,38.879,18.372,101.501
0.614,0.200,-0.744,-16.113,37.292,99.670
0.570,0.261,-0.889,-15.991,35.828,86.487
0.570,0.097,-0.948,-16.846,14.038,78.857
0.557,0.045,-1.129,-16.541,-6.042,101.013
0.555,0.214,-1.188,10.071,-56.213,142.761
0.543,0.515,-1.060,22.400,-76.050,139.893
0.518,0.389,-1.019,23.804,-101.135,111.938
0.492,0.271,-0.986,22.888,-115.723,119.019
0.473,0.443,-1.001,35.400,-140.320,132.202
0.401,0.437,-1.055,41.992,-150.085,115.356
0.368,0.252,-0.990,26.611,-178.650,96.008
0.356,0.226,-0.847,19.043,-190.186,107.788
0.351,0.326,-0.815,41.443,-205.505,121.460
0.312,0.187,-0.595,52.307,-208.069,116.760
0.299,0.097,-0.513,31.860,-188.171,141.357
0.323,0.495,-0.567,19.775,-179.871,163.391
0.340,0.724,-0.510,58.716,-184.082,150.574
0.336,0.494,-0.224,80.505,-181.702,124.878
0.339,0.276,-0.084,88.257,-154.114,119.263
0.341,0.209,-0.050,91.187,-136.536,140.747
0.354,0.454,-0.073,114.258,-114.990,184.326
0.363,0.857,-0.087,112.061,-113.831,167.053
0.331,0.511,0.131,102.234,-112.244,156.250
0.317,0.460,0.167,93.445,-100.830,179.993
0.342,0.810,0.319,86.670,-95.093,189.392
0.358,0.848,0.346,72.510,-83.435,183.960
0.317,0.956,0.208,27.771,-55.908,164.490
0.312,1.092,0.260,6.958,-50.049,145.081
